I Will Survive;Gloria Gaynor;0;0;0;0;0;0;1;
Give a Little Bit;Goo Goo Dolls;1;0;0;0;1;0;0;
Move in the Right Direction;Gossip;0;0;0;0;0;1;0;
Somebody That I Used to Know;Gotye ft. Kimbra;0;0;1;0;2;0;0;
Sauna;Granada;1;0;0;0;0;0;0;
When I Come Around;Green Day;1;0;0;0;0;0;0;
Basket Case;Green Day;0;0;2;0;0;0;0;
Holiday;Green Day;0;0;1;0;0;0;0;
Wake Me up When September Ends (Live);Green Day;0;0;0;1;1;0;0;
Boulevard of Broken Dreams;Green Day;0;0;0;1;0;0;0;
Know Your Enemy;Green Day;0;0;0;0;0;0;1;
21 Guns;Green Day / The Cast of American Idiot;0;2;0;0;0;0;0;
Black Hole;Griff;0;1;1;1;1;0;0;
November Rain;Guns n' Roses;1;0;0;0;1;0;0;
Sweet Child O' Mine;Guns n' Roses;0;0;1;0;0;0;1;
Knockin' on Heaven's Door;Guns n' Roses;0;0;0;2;0;0;0;
Don't Cry (Live);Guns n' Roses;0;0;0;0;1;0;0;
Don't Cry;Guns n' Roses;0;0;0;0;0;1;0;
Join Me;HIM;1;0;0;0;0;0;0;
Ausgeliefert;Hansi Dujmic;0;0;1;0;0;0;0;
Mmmbop;Hanson;0;1;0;0;0;0;0;
Sign of the Times;Harry Styles;0;0;1;0;0;0;0;
Watermelon Sugar;Harry Styles;0;0;0;0;2;0;1;
Der Held;Herbert Grönemeyer;0;0;1;0;0;0;0;
Vo Mello bis ge Schoppornou;Holstuonarmusigbigbandclub;0;0;1;0;0;0;0;
The Reason;Hoobastank;0;0;0;0;0;0;2;
Take Me to Church;Hozier;0;1;0;0;0;0;1;
Heast as nit;Hubert von Goisern;0;0;1;0;0;0;0;
Alle 100 Jahr;Hubert von Goisern;0;0;0;1;0;0;0;
Koa Hiatamadl;Hubert von Goisern;0;0;0;0;1;0;0;
Weit, weit weg;Hubert von Goisern;0;0;0;0;1;0;0;
Brenna tuats guat;Hubert von Goisern;0;0;0;0;0;0;1;
New Sensation;INXS;0;1;0;0;0;0;0;
Disappear;INXS;0;0;0;1;0;0;0;
I Love It;Icona Pop;1;0;0;0;0;2;0;
Follow You;Imagine Dragons;3;1;1;1;3;3;1;
Thunder;Imagine Dragons;0;1;0;0;0;1;0;
It's Time;Imagine Dragons;0;1;0;0;0;0;0;
Natural;Imagine Dragons;0;0;1;0;1;0;1;
Bad Liar;Imagine Dragons;0;0;0;1;0;1;2;
Whatever It Takes;Imagine Dragons;0;0;0;1;0;0;0;
Demons;Imagine Dragons;0;0;0;1;1;0;0;
Radioactive;Imagine Dragons;0;0;0;0;0;1;0;
Don't Be so Shy (Filatov & Karas Remix);Imany;1;0;0;1;0;0;0;
Fenster;Ina Regen;0;1;0;0;0;0;0;
Wie a Kind;Ina Regen;0;0;0;0;0;1;0;
Here Comes the Hotstepper;Ini Kamoze;0;1;0;0;0;0;0;
Somewhere over the Rainbow;Israel Kamakawiwo'ole;0;0;1;0;0;0;0;
I Need You to Hate Me;JC Stewart;2;3;2;1;2;3;3;
Bild an der Wand;Jakob Busch;0;0;0;0;1;0;0;
Superstar;Jamelia;0;0;2;0;0;0;0;
Impossible;James Arthur;1;0;0;0;1;0;0;
Say You Won't Let Go;James Arthur;0;0;1;0;1;0;0;
Chew On My Heart;James Bay;2;1;3;3;2;2;1;
I Got You (I Feel Good);James Brown;0;1;0;0;0;0;0;
New Life;James Cottriall;0;0;1;0;0;0;0;
Don't Let Anyone Hold You Back;James Cottriall;0;0;0;0;0;1;0;
What I've Done;James Hersey;0;1;0;0;0;0;0;
Broken Strings;James Morrison / Nelly Furtado;0;0;0;0;0;1;0;
Virtual Insanity;Jamiroquai;1;0;0;0;0;0;0;
Canned Heat (Remastered);Jamiroquai;0;0;0;0;0;0;1;
Liege wieder wach;Jamule;0;0;0;1;0;0;0;
Eule;Jan Delay feat. Marteria;1;0;0;0;0;0;3;
Take You Dancing;Jason Derulo;1;2;2;1;1;1;0;
